outcome,spec,term,estimate,se,ci_low,ci_high,z,p,std_effect,n_obs,n_groups
log_answer_words,treatment_only_all_arms,cat_Business_and_economy,0.09908265276922035,0.07532309789022022,-0.04854790629959621,0.2467132118380369,1.315435179174767,0.18836368898216305,0.0712222498050831,18606,1129
log_answer_words,treatment_only_all_arms,cat_Disasters_and_accidents,-0.004212966540313129,0.05539525444077952,-0.11278567015867348,0.10435973707804723,-0.07605284212237015,0.939377057958273,-0.0030283500387653117,18606,1129
log_answer_words,treatment_only_all_arms,cat_International_relations,-0.03370160837729222,0.05226510423764591,-0.13613933033130995,0.06873611357672552,-0.6448204565718128,0.5190435436535077,-0.02422527358316988,18606,1129
log_answer_words,treatment_only_all_arms,cat_Law_and_crime,0.013894440310268829,0.04375342854704296,-0.07186070384208203,0.09964958446261969,0.3175623207522985,0.7508169593430742,0.009987553532551324,18606,1129
log_answer_words,treatment_only_all_arms,cat_Other_small_categories,-0.0487574941323599,0.08609430904421388,-0.21749923913288016,0.11998425086816035,-0.566326562970851,0.5711718063499063,-0.0350476933137136,18606,1129
log_answer_words,treatment_only_all_arms,cat_Politics_and_elections,-0.04436788282962989,0.04728210111146212,-0.1370390981214769,0.048303332462217116,-0.9383652965217791,0.34805671390300674,-0.03189236809772006,18606,1129
log_answer_words,treatment_only_all_arms,cat_Sports,-0.40280211447352593,0.07271960630034291,-0.5453299237921301,-0.2602743051549218,-5.5391129705776,3.040074984729603e-08,-0.28954082291144617,18606,1129
log_answer_words,treatment_only_all_arms,quant,-0.059831236223659295,0.030067706895400906,-0.11876285883635171,-0.0008996136109668748,-1.9898835794761243,0.046603761615431526,-0.043007682307353,18606,1129
log_answer_words,treatment_only_all_arms,age30,0.007776572365215082,0.006556455060974404,-0.005073843420550113,0.020626988150980276,1.1860940543165026,0.2355851583069939,0.005589928853769149,18606,1129
log_answer_words,treatment_only_all_arms,mdl_Claude_Sonnet_5,1.4650924277531188,0.026910699898365278,1.4123484251535572,1.5178364303526803,54.44274705921408,0.0,1.0531326721743097,18606,1129
log_answer_words,treatment_only_all_arms,mdl_DeepSeek_V4,1.849953125432318,0.026909812440300655,1.797210862218601,1.9026953886460352,68.74641469673689,0.0,1.3297769079126316,18606,1129
log_answer_words,treatment_only_all_arms,mdl_GLM_5_2,2.6304882635681346,0.02691069989836571,2.577744260968572,2.683232266167697,97.74878667231856,0.0,1.8908384765752688,18606,1129
log_answer_words,treatment_only_all_arms,arm_No_search,-0.39372998576596535,0.026910699898365267,-0.446473988365527,-0.3409859831664037,-14.63098274117661,1.781945267410089e-48,-0.28301962672810715,18606,1129
log_answer_words,treatment_only_all_arms,arm_Wide,0.03633063312275135,0.02690981244030019,-0.016411630090964927,0.08907289633646763,1.350088678743168,0.17698753939366196,0.026115060058719334,18606,1129
log_answer_words,treatment_only_all_arms,arm_Native,0.45163563836046344,0.026909812440300558,0.39889337514674644,0.5043779015741805,16.78330680908377,3.233198409086453e-63,0.32464316767041085,18606,1129
log_answer_words,treatment_only_all_arms,ix_Claude_Sonnet_5__No_search,-0.8503795238253042,0.03805684924677816,-0.9249695777140597,-0.7757894699365487,-22.344979698951203,1.35109509964771e-110,-0.6112668684404463,18606,1129
log_answer_words,treatment_only_all_arms,ix_Claude_Sonnet_5__Wide,0.005938190280594123,0.03805684924677815,-0.06865186360816133,0.08052824416934959,0.15603473219992964,0.876005644169224,0.004268469401396297,18606,1129
log_answer_words,treatment_only_all_arms,ix_Claude_Sonnet_5__Native,0.8293809358309985,0.03805633634076041,0.7547918872195652,0.9039699844424317,21.79350446150767,2.6738479224833855e-105,0.5961727360379976,18606,1129
log_answer_words,treatment_only_all_arms,ix_DeepSeek_V4__No_search,-1.486260473556834,0.03805684924677889,-1.560850527445591,-1.4116704196680772,-39.0536921204172,0.0,-1.0683486136532805,18606,1129
log_answer_words,treatment_only_all_arms,ix_DeepSeek_V4__Wide,0.03595539365438171,0.03805684924677887,-0.038634660234375166,0.11054544754313858,0.9447811462591053,0.34477061920618046,0.02584533172176012,18606,1129
log_answer_words,treatment_only_all_arms,ix_GLM_5_2__No_search,-2.195530525780576,0.03805873178306493,-2.270124269372653,-2.1209367821884992,-57.687958135208426,0.0,-1.5781836597173302,18606,1129
log_answer_words,treatment_only_all_arms,ix_GLM_5_2__Wide,0.02502918309760307,0.03805865308731773,-0.049564406253643806,0.09962277244884996,0.6576476324629454,0.5107645796051972,0.017991390835555204,18606,1129
snippet_sufficiency,treatment_only_wide_vs_norm,Intercept,0.1633842067114,0.019980060954128916,0.12422400683239233,0.20254440659040768,8.177362776144902,2.9012353630732615e-16,0.4988723207767383,10632,1129
