outcome,spec,model,contrast,estimate,se,ci_low,ci_high,p,p_bh
domain_entropy,treatment_only_wide_vs_norm,DeepSeek V4,Wide - Normalized (result tier),-0.0552831546157326,0.002233921755168376,-0.05966164125586262,-0.05090466797560258,3.3287961655377306e-135,4.438394887383641e-135
domain_entropy,treatment_only_wide_vs_norm,GLM-5.2,Wide - Normalized (result tier),-0.06052169922096615,0.0022323876083617136,-0.06489717893335512,-0.05614621950857719,7.354870413406157e-162,1.4709740826812314e-161
domain_entropy,treatment_only_wide_vs_norm,GPT-5.6 Terra,Wide - Normalized (result tier),-0.04898861166864009,0.002233335335810489,-0.053365948926828645,-0.04461127441045153,1.1996350364777203e-106,1.1996350364777203e-106
compression_redundancy,treatment_only_wide_vs_norm,Claude Sonnet 5,Wide - Normalized (result tier),-0.06928912469867851,0.0018127767333767659,-0.07284216709609698,-0.06573608230126005,0.0,0.0
compression_redundancy,treatment_only_wide_vs_norm,DeepSeek V4,Wide - Normalized (result tier),-0.0669435531103233,0.0017758117716103075,-0.0704241441826795,-0.06346296203796709,0.0,0.0
compression_redundancy,treatment_only_wide_vs_norm,GLM-5.2,Wide - Normalized (result tier),-0.06902108800173655,0.0017745398509633446,-0.0724991861096247,-0.0655429898938484,0.0,0.0
compression_redundancy,treatment_only_wide_vs_norm,GPT-5.6 Terra,Wide - Normalized (result tier),-0.06101583244872396,0.001774982350462779,-0.064494797855631,-0.057536867041816916,5.867804692634989e-259,5.867804692634989e-259
judge,quality_on_wide_vs_norm_subset,Claude Sonnet 5,Wide - Normalized (result tier),0.031336470192668484,0.009534209287710618,0.012649419988755673,0.0500235203965813,0.0010135424648963756,0.002027084929792751
judge,quality_on_wide_vs_norm_subset,DeepSeek V4,Wide - Normalized (result tier),0.024344492937505503,0.009534209287710616,0.005657442733592696,0.04303154314141831,0.010668195261513087,0.016412608094635517
judge,quality_on_wide_vs_norm_subset,GLM-5.2,Wide - Normalized (result tier),0.02234498134404045,0.009536860559900362,0.0036527346466357392,0.04103722804144516,0.0191287538133514,0.02732679116193057
judge,quality_on_wide_vs_norm_subset,GPT-5.6 Terra,Wide - Normalized (result tier),0.012039127163280495,0.009533286801008092,-0.0066461149666953625,0.03072436929325635,0.2066424912694198,0.22960276807713312
gated,quality_on_wide_vs_norm_subset,Claude Sonnet 5,Wide - Normalized (result tier),-0.0018025925138122328,0.008904185250880069,-0.019254795605537167,0.015649610577912698,0.8395701922053352,0.9816967896038097
gated,quality_on_wide_vs_norm_subset,DeepSeek V4,Wide - Normalized (result tier),0.00481237430463252,0.00890418525088007,-0.012639828787092416,0.022264577396357454,0.5888784188796705,0.9059667982764161
gated,quality_on_wide_vs_norm_subset,GLM-5.2,Wide - Normalized (result tier),0.000585995059247571,0.008909941876230116,-0.016877491018163455,0.018049481136658597,0.9475619970462471,0.9816967896038097
gated,quality_on_wide_vs_norm_subset,GPT-5.6 Terra,Wide - Normalized (result tier),-0.0015048908954102117,0.008902181786620323,-0.018953167197186045,0.01594338540636562,0.8657593395071752,0.9816967896038097
